Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,PROD_ID,Voltage,Tolerance,Sim.Device,Sim.Pins,Digi-Key_PN,Category,Family,DK_Datasheet_Link,DK_Detail_Page,Description_1,Manufacturer,Status
"C1, C2, C7",3,680uF_35V,CP_Elec_10x12.5,,,,smt,"470uF, 35V Electrolytic Capacitor",,,,,,,,,,,,,
"C10, C9",2,2200uF/35V,CP_Radial_D18.0mm_P7.50mm,,,,tht,"4.7uF, 16V Electrolytic Capacitor",,,,,,,,,,,,,
"C11, C5, C6",3,220uF_16V,CP_Elec_6.3x7.7,,,,smt,"470uF, 35V Electrolytic Capacitor",,,,,,,,,,,,,
"C12, C13, C18, C22, C23, C24, C25, C4",8,100nF,C_0805,,,,smt,"[C12,C13,C18,C22]Unpolarized capacitor, small symbol; [C23,C24]Unpolarized capacitor; [C25,C4]100nF Ceramic Capacitor",CAP-00810,25V,20%,,,,,,,,,,
C14,1,470uF/25V,CP_Elec_8x11.9,,,,smt,"4.7uF, 16V Electrolytic Capacitor",,,,,,,,,,,,,
C15,1,4.7uF/16V,C_CASE-B-3528-21(mm),,,,smt,"4.7uF, 16V Electrolytic Capacitor",,,,,,,,,,,,,
"C16, C26, C27",3,10uF_16V,C_CASE-B-3528-21(mm),,,,smt,"10uF, 16V Electrolytic Capacitor",,,,,,,,,,,,,
C17,1,0.1uF/25V,C_0805,,,,smt,Unpolarized capacitor,CAP-00810,25V,20%,,,,,,,,,,
C19,1,4.7uF/16V,CP_EIA-3216-18_Kemet-A,,,,smt,"4.7uF, 16V Electrolytic Capacitor",,,,,,,,,,,,,
"C20, C21",2,22pF,C_0805,,,,smt,"Unpolarized capacitor, small symbol",,,,,,,,,,,,,
C3,1,470nF,C_0805,,,,smt,100nF Ceramic Capacitor,,,,,,,,,,,,,
C8,1,145J400V,C_Rect_L19.0mm_W6.0mm_P15.00mm_MKS4,,,,tht,"Unpolarized capacitor, small symbol",,,,,,,,,,,,,
D1,1,Blue,LED_D3.0mm,,,,tht,Light emitting diode,DIO-17976,,,,,,,,,,,,
"D10, D11, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D5, D6, D7",17,SM4001,D_SMA,,,,smt,"50V 1A General Purpose Rectifier Diode, MELF",,,,D,1=K 2=A,,,,,,,,
"D12, D2, D3",3,1N5824,D_SMA,,,,smt,"40V 3A Schottky Barrier Rectifier Diode, DO-201AD",,,,,,,,,,,,,
"D13, D14",2,1N5819,D_SMA,,,,smt,"40V 1A Schottky Barrier Rectifier Diode, DO-41",,,,,,,,,,,,,
"D15, D30",2,SM4007PL,D_SMA,,,,smt,"50V 1A General Purpose Rectifier Diode, MELF",,,,D,1=K 2=A,,,,,,,,
D16,1,Red,LED_D3.0mm,,,,tht,Light emitting diode,DIO-17976,,,,,,,,,,,,
D17,1,Green,LED_D3.0mm,,,,tht,Light emitting diode,DIO-17976,,,,,,,,,,,,
D4,1,GREEN,LED_D3.0mm,,,,tht,Light emitting diode,DIO-17976,,,,,,,,,,,,
"D8, D9",2,GBU8M,Diode_Bridge_Vishay_GBU,,,,tht,"Single-Phase Bridge Rectifier, 700V Vrms, 8.0A If, GBU package",,,,,,,,,,,,,
DZ1,1,CMZ12,D_SOD-123,,,,smt,"SOD-128 Zener diode, 12V, 2W, Alternate KiCad Library",,,,,,,,,,,,,
"L1, L2, L3",3,33uH,L_12x12mm_H6mm,,,,smt,"Inductor, small symbol",,,,,,,,,,,,,
"OC1, OC2",2,PC817XFP,SOP-4_4.4x2.6mm_P1.27mm,,,,smt,"SMDIP-4 Optocoupler, Transistor output, 5kV, 18us, Alternate KiCAD Library",,,,,,,,,,,,,
"Q1, Q2",2,UMH3N,SOT-363_SC-70-6,,,,smt,"0.1A Ic, 50V Vce, Dual NPN Input Resistor Transistors, SOT-363",,,,,,,,,,,,,
"Q3, Q4",2,ULN2803ADWR,SOIC-18_W7.5mm,,ULN2803ADWR,,smt,TRANS 8NPN DARL 50V 0.5A 18SO,,,,,,296-15777-1-ND,Discrete Semiconductor Products,Transistors - Bipolar (BJT) - Arrays,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fuln2803a,/product-detail/en/texas-instruments/ULN2803ADWR/296-15777-1-ND/598088,TRANS 8NPN DARL 50V 0.5A 18SO,Texas Instruments,Active
"R1, R2, R7",3,680k,R_0805,,,,smt,"10kΩ, 1/4W Resistor",,,,,,,,,,,,,
"R10, R12, R15, R16, R17, R21, R22",7,10k,R_0805,,,,smt,"10kΩ, 1/4W Resistor",,,,,,,,,,,,,
"R11, R19, R20, R6, R9",5,330R,R_0805,,,,smt,"1MΩ, 1/4W Resistor",,,,,,,,,,,,,
R13,1,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,"10kΩ, 1/4W Resistor",,,,,,,,,,,,,
R14,1,330R/2W,R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal,,,,tht,"1MΩ, 1/4W Resistor",,,,,,,,,,,,,
R18,1,150R,R_0805,,,,smt,"10kΩ, 1/4W Resistor",,,,,,,,,,,,,
R3,1,100k,R_0805,,,,smt,"10kΩ, 1/4W Resistor",,,,,,,,,,,,,
"R4, R5, R8",3,6.8k,R_0805,,,,smt,"10kΩ, 1/4W Resistor",,,,,,,,,,,,,
RV1,1,10K,Potentiometer_Bourns_3296W_Vertical,,,,tht,Potentiometer,,,,,,,,,,,,,
SW1,1,RESET,SW_TS-1088-AR02016,,,,smt,Common 6mmx6mm Push Button,,,,,,,,,,,,,
SW2,1,FLASH,SW_TS-1088-AR02016,,,,smt,Common 6mmx6mm Push Button,,,,,,,,,,,,,
U1,1,LM2596S-3.3V,TO-263-5_L10.2-W8.9-P1.70-TL,,,,tht,"3.3V 3A Step-Down Voltage Regulator, TO-263",,,,,,,,,,,,,
U2,1,LM2596S-12,TO-263-5_L10.2-W8.9-P1.70-TL,,,,tht,"12V 3A Step-Down Voltage Regulator, TO-263",,,,,,,,,,,,,
U3,1,ESP32,ESP32-WROOM-32E,,,,smt,,IC-15676,,,,,,,,,,,,
U4,1,LM2596S-5V,TO-263-5_L10.2-W8.9-P1.70-TL,,,,tht,"5V 3A Step-Down Voltage Regulator, TO-263",,,,,,,,,,,,,
U5,1,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,,,,tht,"1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",,,,,,,,,,,,,
U6,1,PCA9555D,SOIC-24W_7.5x15.4mm_P1.27mm,,,,smt,"IO expander 16 GPIO, I2C 400kHz, Interrupt, 2.3 - 5.5V, SOIC-24",,,,,,,,,,,,,
U7,1,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,,,,smt,"USB serial converter, crystal-less, UART, SOIC-16",,,,,,,,,,,,,
XFORMER_IN,1,TRANS-IN,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,,,tht,,,,,,,,,,,,,,
XFORMER_OUT1,1,TRANS 2-OUT,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,,,tht,,,,,,,,,,,,,,
XFORMER_OUT2,1,TRANS 1-OUT,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",,,,tht,,,,,,,,,,,,,,
Y1,1,12MHz,CRYSTAL-SMD_L11.5-W4.8-LS12.7,,,,smt,16Mz Crystal,,,,,,,,,,,,,
